source,n_trades,offset,median_norm_q,q25_norm_q,q75_norm_q
real,5000,-30,1.04,0.9696040156162855,1.2974922037422039
real,5000,-29,1.0344827586206897,0.9732083014170816,1.2666666666666666
real,5000,-28,1.0303030303030303,0.9787234042553191,1.2471753057658708
real,5000,-27,1.0276243093922652,0.9857377819548873,1.2222222222222223
real,5000,-26,1.0238095238095237,0.9874099493216372,1.2
real,5000,-25,1.0196078431372548,0.9898469228366136,1.1818181818181819
real,5000,-24,1.0159787234042552,0.9931147619503784,1.1666666666666667
real,5000,-23,1.0132867537282202,0.996687062937063,1.1428571428571428
real,5000,-22,1.0110209743717595,1.0,1.1260912131843028
real,5000,-21,1.0055710738671633,1.0,1.1111111111111112
real,5000,-20,1.0,1.0,1.0952380952380953
real,5000,-19,1.0,1.0,1.0769230769230769
real,5000,-18,1.0,1.0,1.0588235294117647
real,5000,-17,1.0,1.0,1.040955790784558
real,5000,-16,1.0,1.0,1.0238095238095237
real,5000,-15,1.0,0.991015252236078,1.0084576934221965
real,5000,-14,1.0,0.9743589743589743,1.0110041891809847
real,5000,-13,1.0,0.96,1.0129870129870129
real,5000,-12,1.0,0.95,1.0129870129870129
real,5000,-11,1.0,0.9333333333333333,1.0133783783783785
real,5000,-10,1.0,0.9166666666666666,1.011764705882353
real,5000,-9,1.0,0.9,1.0097115384615385
real,5000,-8,1.0,0.8819207907566954,1.0110826673326674
real,5000,-7,0.9911504424778761,0.8571428571428571,1.0086584996975196
real,5000,-6,0.9815241508789896,0.8333333333333334,1.0040513833992095
real,5000,-5,0.9719169594117105,0.8,1.0
real,5000,-4,0.96,0.7777777777777778,1.0
real,5000,-3,0.95,0.7391304347826086,1.0
real,5000,-2,0.9315068493150684,0.7023176291793313,1.0
real,5000,-1,0.9083256296047286,0.6666666666666666,1.0
real,5000,0,0.9083256296047286,0.6666666666666666,1.0
real,5000,1,0.9047619047619048,0.6492267274710023,1.0
real,5000,2,0.9,0.6363636363636364,1.0048858146684234
real,5000,3,0.8888888888888888,0.622072072072072,1.0149253731343284
real,5000,4,0.8888888888888888,0.615003808073115,1.0228594080338267
real,5000,5,0.8888888888888888,0.6,1.0323457223001402
real,5000,6,0.8853221945660363,0.6,1.041994847258005
real,5000,7,0.8832397754611067,0.5974025974025974,1.0581334332833583
real,5000,8,0.8804060124814842,0.5925925925925926,1.0606984478935697
real,5000,9,0.8823529411764706,0.5904761904761905,1.0714285714285714
real,5000,10,0.8798907103825137,0.5833333333333334,1.0853529660419894
real,5000,11,0.8789802347822826,0.5714285714285714,1.0993025221924757
real,5000,12,0.8793714844705307,0.5652173913043478,1.1205497848548798
real,5000,13,0.88,0.563986013986014,1.135135135135135
real,5000,14,0.8800386847195358,0.5555555555555556,1.1492021276595745
real,5000,15,0.8783307486254053,0.5507246376811594,1.165832992222677
real,5000,16,0.88,0.5483870967741935,1.1859584777415122
real,5000,17,0.8829377519032691,0.549486105824134,1.210597439544808
real,5000,18,0.8842058562555457,0.5454545454545454,1.2352941176470589
real,5000,19,0.8888888888888888,0.5475563909774437,1.2730938416422286
real,5000,20,0.8936170212765957,0.5496011278454027,1.3060897435897436
real,5000,21,0.8918918918918919,0.5507246376811594,1.3333333333333333
real,5000,22,0.8936170212765957,0.5482766239505081,1.3571428571428572
real,5000,23,0.8943381180223285,0.5482766239505081,1.4
real,5000,24,0.9021999043519847,0.5503905050987348,1.4369218500797447
real,5000,25,0.9061636740331491,0.5543562665010094,1.4545454545454546
real,5000,26,0.90625,0.5479015792688247,1.478834219858156
real,5000,27,0.9078219071664402,0.5483870967741935,1.5
real,5000,28,0.912938204021476,0.5482766239505081,1.5384615384615385
real,5000,29,0.9155778041744442,0.5407955124936257,1.5526819923371646
real,5000,30,0.9173622128716286,0.5407955124936257,1.5655797101449276
v2,4960,-30,0.9922904938892134,0.8670739268841168,1.1104898222741528
v2,4960,-29,0.9936638745202536,0.8742623443411097,1.1049221881221158
v2,4960,-28,0.9932696179325478,0.8792412208247415,1.0977373227965046
v2,4960,-27,0.9944488156581803,0.8821390669684529,1.089682130830066
v2,4960,-26,0.9919165619744092,0.8891987668446478,1.0766427457782235
v2,4960,-25,0.9940562525797253,0.8967933342512926,1.0753686363701973
v2,4960,-24,0.9941041554483201,0.9033108452860139,1.0681057224025974
v2,4960,-23,0.9947456054066302,0.9068946411883038,1.06875
v2,4960,-22,0.9958980372950833,0.9134196791883886,1.0636661322745993
v2,4960,-21,0.9955801452535977,0.9199767364572948,1.0585563478920736
v2,4960,-20,0.9947158147231345,0.9263642234420406,1.053616796590142
v2,4960,-19,0.996651531826394,0.9330934355369558,1.0541657631901464
v2,4960,-18,0.9980877295752613,0.9433904773412458,1.0474563937785355
v2,4960,-17,0.998617422677573,0.9454472030796018,1.0444451643557513
v2,4960,-16,0.9995594306239043,0.9538807552849422,1.0411565494850703
v2,4960,-15,1.0,0.9555769088717609,1.0434010488122514
v2,4960,-14,1.0013173546030023,0.9536155035823628,1.0494525647865518
v2,4960,-13,1.001070850244482,0.9479207084497798,1.0568463628968745
v2,4960,-12,1.0023715103686093,0.9469413741053807,1.0627905957325883
v2,4960,-11,1.0038635044365205,0.9449845114722892,1.0712906459186167
v2,4960,-10,1.0045283908184897,0.937776673293572,1.0777638396509408
v2,4960,-9,1.0048346411251665,0.933977789815818,1.0803931496384729
v2,4960,-8,1.0071718898950022,0.9349662007437669,1.0924586834366998
v2,4960,-7,1.006700898619089,0.9309939992536193,1.0970277570117073
v2,4960,-6,1.0057275235010323,0.9217455530056042,1.1041066484361648
v2,4960,-5,1.0080575824203515,0.921673943974535,1.1156770896687036
v2,4960,-4,1.0061334645497486,0.9148997643473271,1.1185140273660887
v2,4960,-3,1.0079834870173474,0.9097940055645205,1.1339651740637728
v2,4960,-2,1.0070443593407887,0.9043643472753806,1.1414719884763478
v2,4960,-1,1.0070304198482714,0.8991782200357782,1.1459927978929305
v2,4960,0,1.0116781496651726,0.8901787519374621,1.157851167654235
v2,4960,1,1.0117161547685911,0.8837248265489805,1.1703105977373283
v2,4960,2,1.0117206902395268,0.8846102315259321,1.1785232770962073
v2,4960,3,1.010928499732029,0.8712392938645035,1.1846818115977016
v2,4960,4,1.0114959327454656,0.868199338216782,1.1912677304964538
v2,4960,5,1.0085325435034334,0.8629198101275241,1.1979085945865244
v2,4960,6,1.0136075788769117,0.8564718001200788,1.2065113530579459
v2,4960,7,1.0098764992951113,0.8542712913215939,1.2154479273907448
v2,4960,8,1.013581364651838,0.8499164867092963,1.222510152554489
v2,4960,9,1.0135058216453565,0.8481486798378316,1.2255177595915099
v2,4960,10,1.0132586160673365,0.8413917076551485,1.2291037684880919
v2,4960,11,1.0192124817439097,0.843160520011757,1.2454236904899358
v2,4960,12,1.015853380771738,0.8307645314257726,1.2360908208187276
v2,4960,13,1.0194544892114674,0.8312098054922685,1.2553505663830868
v2,4960,14,1.0181123920393202,0.8287993028891788,1.257113311578122
v2,4960,15,1.0170542635658915,0.8273041684082199,1.262442054655029
v2,4960,16,1.0197151689825623,0.8218819196627324,1.2659846732215154
v2,4960,17,1.0182610526399816,0.8165620415927834,1.2847245661611517
v2,4960,18,1.0242522120198099,0.8160085737448919,1.2896174470171502
v2,4960,19,1.0204432149395628,0.8095241838529754,1.292667846299238
v2,4960,20,1.0248945113719303,0.8146982214008037,1.298343833027169
v2,4960,21,1.0216361521438975,0.8113301365972799,1.3077000433195123
v2,4960,22,1.0208769177126917,0.8031519396551724,1.3132093980022475
v2,4960,23,1.0214374457134454,0.8020787194517341,1.3107935965118516
v2,4960,24,1.0238370137403485,0.7907837078066382,1.3206802663845747
v2,4960,25,1.0213744193449878,0.7894331151620058,1.3272407658420873
v2,4960,26,1.0246033123349854,0.7887298488200121,1.3363918423119194
v2,4960,27,1.0225088383817011,0.7849782677536059,1.3442082935306776
v2,4960,28,1.0193833953312177,0.7849332085854748,1.3500782119077834
v2,4960,29,1.022498728476005,0.7747857572714969,1.3506033615110633
v2,4960,30,1.0233756620984469,0.7745223002788535,1.3605014311742185
v5,4725,-30,1.0,0.7777777777777778,1.249140049140049
v5,4725,-29,0.9981837994914639,0.776255707762557,1.217964364168904
v5,4725,-28,0.9985832827362882,0.7893838862559241,1.2048814832199015
v5,4725,-27,0.9973896019142919,0.8075927523727351,1.185210544334132
v5,4725,-26,1.0,0.8156028368794326,1.1758793969849246
v5,4725,-25,0.9989293361884368,0.8217054263565892,1.1583880037488286
v5,4725,-24,1.0,0.8320802005012531,1.148051948051948
v5,4725,-23,1.0021052631578948,0.8451465391810434,1.147741424204687
v5,4725,-22,1.001615508885299,0.8505154639175257,1.1349497918197404
v5,4725,-21,1.0003930817610063,0.8532110091743119,1.1196893558702603
v5,4725,-20,1.0007428316743425,0.875,1.111864406779661
v5,4725,-19,1.001121076233184,0.8827838827838828,1.109166983643971
v5,4725,-18,1.0,0.891877353415815,1.0908431111648724
v5,4725,-17,1.0,0.8943089430894309,1.078784885156829
v5,4725,-16,1.0008503401360545,0.9121140142517815,1.0760043431053203
v5,4725,-15,1.0,0.9126436781609195,1.0745207839758777
v5,4725,-14,1.0008757662955086,0.8938502673796791,1.0850622406639003
v5,4725,-13,1.0,0.8958389991841175,1.096114519427403
v5,4725,-12,1.0004764173415912,0.888135593220339,1.1004784688995215
v5,4725,-11,0.999195494770716,0.8740068104426788,1.1065989847715736
v5,4725,-10,0.9994897091342065,0.8599113154869437,1.117331745086361
v5,4725,-9,1.0,0.8497109826589595,1.1301151087808112
v5,4725,-8,1.0001450747134775,0.8466098555020378,1.1465842773772743
v5,4725,-7,1.0007618467164408,0.8395061728395061,1.1575603557814484
v5,4725,-6,1.000657894736842,0.833976833976834,1.168
v5,4725,-5,1.0,0.8145454545454546,1.1735015772870663
v5,4725,-4,1.0,0.8044184535412605,1.2
v5,4725,-3,0.9976973684210526,0.7875,1.2001847148464557
v5,4725,-2,0.9946140035906643,0.7692307692307693,1.2165775401069518
v5,4725,-1,0.9982363315696648,0.764505119453925,1.2412349555206699
v5,4725,0,0.989010989010989,0.7326732673267327,1.238880204632656
v5,4725,1,0.9869782158938786,0.7127010537992235,1.2581334599857517
v5,4725,2,0.9923291492329149,0.7096774193548387,1.2912280701754386
v5,4725,3,0.9911504424778761,0.7030212127705164,1.308108108108108
v5,4725,4,0.9931628260319069,0.6878022568511553,1.316931982633864
v5,4725,5,0.9844017500475556,0.6857946554149086,1.3374645892351276
v5,4725,6,0.9946389871107563,0.6724376731301939,1.3325262308313155
v5,4725,7,0.9858776059179556,0.6659459459459459,1.3536711478800414
v5,4725,8,0.9969388599321585,0.6710097719869706,1.3957703927492446
v5,4725,9,0.981690494105844,0.6489580948019236,1.386682107701216
v5,4725,10,0.9803921568627451,0.6436189775652813,1.4049079754601228
v5,4725,11,0.980130609976379,0.6266666666666667,1.3971291866028708
v5,4725,12,0.9832861918230907,0.6244492263551593,1.429951690821256
v5,4725,13,0.9719227876660818,0.604107330235347,1.417870834562076
v5,4725,14,0.9828281319994027,0.6094727435210009,1.4285714285714286
v5,4725,15,0.9734513274336283,0.6035843823341156,1.439153439153439
v5,4725,16,0.9807326174701089,0.6074596966517218,1.4737056665307786
v5,4725,17,0.9783086216364635,0.6,1.4684671316219025
